졸음쉼터명,시도명,시군구명,도로종류,도로노선명,도로노선번호,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,총연장,주차면수,화장실유무,방범용CCTV수,기타편의시설,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
이목,경기도,수원시,고속국도,영동선,50,인천기점 + 강릉종점,,경기도 수원시 장안구 이목동 산108,37.31967543,126.9860418,,42,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
용인,경기도,용인시,고속국도,영동선,50,인천기점 + 강릉종점,,경기도 용인시 기흥구 청덕동 390-7,37.28841323,127.1391303,,8,N,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
향남,경기도,화성시,고속국도,서해안선,15,서울기점 + 목포종점,,경기도 화성시 향남읍 구문천리 144-11,37.07015086,126.888366,,8,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
송탄,경기도,평택시,고속국도,평택제천선,40,제천기점 + 평택종점,,경기도 평택시 모곡동 223-3,37.03166299,127.081089,,23,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
송탄,경기도,평택시,고속국도,평택제천선,40,평택기점 + 제천종점,,경기도 평택시 모곡동 222,37.03189468,127.0808497,,23,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
오산,경기도,오산시,고속국도,경부선,1,서울기점 + 부산종점,,경기도 오산시 부산동 437-4,37.15663657,127.0867455,,11,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
오산,경기도,오산시,고속국도,경부선,1,부산기점 + 서울종점,,경기도 오산시 부산동 418-1,37.1554034,127.0868107,,24,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
남사,경기도,용인시,고속국도,경부선,1,서울기점 + 부산종점,,경기도 용인시 처인구 남사면 진목리 415-6,37.09618326,127.1205006,,11,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
원곡,경기도,평택시,고속국도,경부선,1,부산기점 + 서울종점,,경기도 평택시 용이동 419-15,37.00113622,127.151958,,14,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
번천,경기도,광주시,고속국도,중부선,35,하남기점 + 통영종점,,경기도 광주시 남한산성면 광지원리 306-1,37.4527891,127.2559971,,19,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
번천,경기도,광주시,고속국도,중부선,35,통영기점 + 하남종점,,경기도 광주시 남한산성면 광지원리 306-1,37.453157,127.256301,,16,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
도척,경기도,광주시,고속국도,중부선,35,하남기점 + 통영종점,,경기도 광주시 도척면 진우리 482-1,37.32298539,127.3384423,,10,N,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
도척,경기도,광주시,고속국도,중부선,35,통영기점 + 하남종점,,경기도 광주시 도척면 진우리 482-1,37.32318149,127.3388331,,12,N,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
상번천,경기도,광주시,고속국도,제2중부선,37,하남기점 + 통영종점,,경기도 광주시 남한산성면 상번천리 315-2,37.44821067,127.2737601,,35,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
상번천,경기도,광주시,고속국도,제2중부선,37,통영기점 + 하남종점,,경기도 광주시 남한산성면 상번천리 245,37.44799577,127.2751754,,8,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
청계,경기도,의왕시,고속국도,서울외곽선,100,판교기점 + 일산종점,경기도 의왕시 안양판교로 476,,37.3932698389,127.0223102693,,19,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
성남,경기도,성남시,고속국도,서울외곽선,100,퇴계원기점 + 구리종점,,경기도 성남시 수정구 수진동 39,37.4411906353,127.1347198282,,83,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
구리남양주,경기도,구리시,고속국도,서울외곽선,100,판교기점 + 일산종점,,경기도 구리시 토평동 86,37.58978453,127.1559020050,,89,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
